timestamp,name,condition,price,url
2026-06-27 01:41:05,Asus Radeon RX 580 8GB ROG Strix Gaming (RX 480 BIOS Upgraded),Ελάχιστα χρησιμοποιημένο,64.0,https://www.skroutz.gr/skoop/PbSs1wdLBY/asus-radeon-rx-580-8gb-rog-strix-gaming-rx-480-bios-upgraded
2026-06-27 01:41:05,Asus Radeon RX 580 8GB ROG Strix Gaming (RX 480 BIOS Upgraded),Ελάχιστα χρησιμοποιημένο,64.0,https://www.skroutz.gr/skoop/CsLm5I759y/asus-radeon-rx-580-8gb-rog-strix-gaming-rx-480-bios-upgraded
2026-06-27 01:41:05,XFX Radeon RX 6600 8GB GDDR6 Speedster SWFT 210 Κάρτα Γραφικών RX-66XL8LFDQ,Ελάχιστα χρησιμοποιημένο,155.0,https://www.skroutz.gr/skoop/MWsBBjVH8V/xfx-radeon-rx-6600-8gb-gddr6-speedster-swft-210-karta-grafikon-rx-66xl8lfdq
2026-06-27 01:41:05,Gigabyte Radeon RX 9060 XT 8GB GDDR6 GAMING OC Κάρτα Γραφικών GV-R9060XTGAMING OC-8GD,Καινούριο,320.0,https://www.skroutz.gr/skoop/5H6ycQGqhz/gigabyte-radeon-rx-9060-xt-8gb-gddr6-gaming-oc-karta-grafikon-gv-r9060xtgaming-oc-8gd
2026-06-27 01:41:05,Gigabyte GeForce RTX 4070 12GB GDDR6X Windforce OC Κάρτα Γραφικών GV-N4070WF3OC-12GD,Μεταχειρισμένο,420.0,https://www.skroutz.gr/skoop/7GMPA84fxE/gigabyte-geforce-rtx-4070-12gb-gddr6x-windforce-oc-karta-grafikon-gv-n4070wf3oc-12gd
2026-06-27 01:41:05,Asus GeForce RTX 5090 32GB GDDR7 Astral OC Edition,Ελάχιστα χρησιμοποιημένο,3600.0,https://www.skroutz.gr/skoop/Fq5D1QQxSo/asus-geforce-rtx-5090-32gb-gddr7-astral-oc-edition
2026-06-27 01:41:05,Inno 3D GeForce RTX 3080 10GB GDDR6X ICHILL X4 Κάρτα Γραφικών PCI-E x16 4.0 με HDMI και 3 DisplayPort,Μεταχειρισμένο,400.0,https://www.skroutz.gr/skoop/WhZofFd6wq/inno-3d-geforce-rtx-3080-10gb-gddr6x-ichill-x4-karta-grafikon-pci-e-x16-4-0-me-hdmi-kai-3-displayport
2026-06-27 01:41:05,MSI GeForce RTX 5080 16GB GDDR7 Gaming Trio OC Κάρτα Γραφικών,Καινούριο,1150.0,https://www.skroutz.gr/skoop/Xg2db3OVbv/msi-geforce-rtx-5080-16gb-gddr7-gaming-trio-oc-karta-grafikon
2026-06-27 01:41:05,Sapphire Radeon RX 6600 8GB GDDR6 Pulse Κάρτα Γραφικών (11310-05-20G),Ελάχιστα χρησιμοποιημένο,168.0,https://www.skroutz.gr/skoop/da3uwUc42k/sapphire-radeon-rx-6600-8gb-gddr6-pulse-karta-grafikon-11310-05-20g
2026-06-27 01:41:05,Palit GeForce RTX 4080 16GB GDDR6X GameRock Omniblack Κάρτα Γραφικών NED4080019T2-1030Q,Ελάχιστα χρησιμοποιημένο,760.0,https://www.skroutz.gr/skoop/ArGcbzPExT/palit-geforce-rtx-4080-16gb-gddr6x-gamerock-omniblack-karta-grafikon-ned4080019t2-1030q
2026-06-27 01:41:05,Sapphire Radeon RX 5700 XT 8GB GDDR6 Nitro+ Κάρτα Γραφικών PCI-E x16 4.0 με 2 HDMI και 2 DisplayPort (11293-03-40G),Μεταχειρισμένο,200.0,https://www.skroutz.gr/skoop/mtSS3sSKQ6/sapphire-radeon-rx-5700-xt-8gb-gddr6-nitro-karta-grafikon-pci-e-x16-4-0-me-2-hdmi-kai-2-displayport-11293-03-40g
