timestamp,name,condition,price,url
2026-06-16 01:05:12,Gigabyte geforce rtx 3060 ti 8gb,Πολύ καλό,222.23,https://www.vinted.gr/items/9184753211-gigabyte-geforce-rtx-3060-ti-8gb
2026-06-16 01:05:12,Placa video Sapphire Radeon RX 6650 xt NITRO+ 8Gb,Πολύ καλό,212.56,https://www.vinted.gr/items/9184488754-placa-video-sapphire-radeon-rx-6650-xt-nitro-8gb
2026-06-16 01:05:12,Placa video RX 580 4GB,Καλό,50.24,https://www.vinted.gr/items/9184432594-placa-video-rx-580-4gb
2026-06-16 01:05:12,Gigabyte GeForce RTX 3080 Ti 12GB GDDR6X Gaming OC,Πολύ καλό,420.0,https://www.vinted.gr/items/9184232098-gigabyte-geforce-rtx-3080-ti-12gb-gddr6x-gaming-oc
2026-06-16 01:05:12,Rx 6600xt good excelent condition I really took care of it,Πολύ καλό,164.25,https://www.vinted.gr/items/9183690651-rx-6600xt-good-excelent-condition-i-really-took-care-of-it
2026-06-16 01:05:12,"Placa video ZOTAC Gaming GeForce® RTX 3080 Trinity OC, 10GB 320-bit",Πολύ καλό,386.48,https://www.vinted.gr/items/9183472744-placa-video-zotac-gaming-geforcer-rtx-3080-trinity-oc-10gb-320-bit
2026-06-16 01:05:12,Placa video ASUS Tuf Gaming Nvidia GeForce RTX 3080 V2 OC Edition,Πολύ καλό,367.16,https://www.vinted.gr/items/9183420659-placa-video-asus-tuf-gaming-nvidia-geforce-rtx-3080-v2-oc-edition
2026-06-16 01:05:12,rtx 3050 6 gb asus,Πολύ καλό,129.6,https://www.vinted.gr/items/9183404851-rtx-3050-6-gb-asus
2026-06-16 01:05:12,Placa Video MSI SuprimX RTX 3080 10 GB,Πολύ καλό,386.48,https://www.vinted.gr/items/9183385904-placa-video-msi-suprimx-rtx-3080-10-gb
2026-06-16 01:05:12,Placa video Gigabyte Nvidia RTX 3070,Πολύ καλό,251.02,https://www.vinted.gr/items/9183160521-placa-video-gigabyte-nvidia-rtx-3070
2026-06-16 01:05:12,Radeon rx 580 nitro+ 8gb,Πολύ καλό,77.3,https://www.vinted.gr/items/9183034374-radeon-rx-580-nitro-8gb
2026-06-16 01:05:12,AMD Rx 5700 XT 8gb,Ικανοποιητικό,115.94,https://www.vinted.gr/items/9182215254-amd-rx-5700-xt-8gb
2026-06-16 01:05:12,Gainward GeForce SUPER Ghost RTX 2060 8GB GDDR6 256bit,Πολύ καλό,178.57,https://www.vinted.gr/items/9182083647-gainward-geforce-super-ghost-rtx-2060-8gb-gddr6-256bit
2026-06-16 01:05:12,Rx 5700 Xt,Καλό,155.53,https://www.vinted.gr/items/9181771781-rx-5700-xt
2026-06-16 01:05:12,Amd Rx 480,Πολύ καλό,57.97,https://www.vinted.gr/items/9181503580-amd-rx-480
2026-06-16 01:05:12,Placa Video Sapphire Radeon RX 6600 PULSE 8GB,Πολύ καλό,144.93,https://www.vinted.gr/items/9181213526-placa-video-sapphire-radeon-rx-6600-pulse-8gb
2026-06-16 01:05:12,GTX 1660 Ti AORUS 6GB GDDR6 - Stare foarte bună,Πολύ καλό,115.94,https://www.vinted.gr/items/9180391820-gtx-1660-ti-aorus-6gb-gddr6-stare-foarte-buna
2026-06-16 01:05:12,Gtx 1070 8gb,Πολύ καλό,94.99,https://www.vinted.gr/items/9179598248-gtx-1070-8gb
2026-06-16 01:05:12,Inno 3D RTX 3070 C2 oc Lhr,Πολύ καλό,350.0,https://www.vinted.gr/items/9177224092-inno-3d-rtx-3070-c2-oc-lhr
2026-06-16 01:05:12,Placa video Nvidia RTX 3070,Πολύ καλό,251.21,https://www.vinted.gr/items/9178057669-placa-video-nvidia-rtx-3070
2026-06-16 01:05:12,Placa video Nvidia RTX 3080 Gaming OC,Πολύ καλό,386.48,https://www.vinted.gr/items/9178204769-placa-video-nvidia-rtx-3080-gaming-oc
2026-06-16 01:05:12,XFX Radeon RX 6600 8GB GDDR6 Speedster SWFT 210,Νέο χωρίς ετικέτες,200.0,https://www.vinted.gr/items/9177443629-xfx-radeon-rx-6600-8gb-gddr6-speedster-swft-210
2026-06-16 01:05:12,Placa video MSI GeForce RTX 4060 Ti VENTUS 3X OC 8GB GDDR6 128-bit DLSS 3.0,Πολύ καλό,270.34,https://www.vinted.gr/items/9177559954-placa-video-msi-geforce-rtx-4060-ti-ventus-3x-oc-8gb-gddr6-128-bit-dlss-30
2026-06-16 01:05:12,Placa video RTX 3060 12 GB,Πολύ καλό,164.25,https://www.vinted.gr/items/9177129721-placa-video-rtx-3060-12-gb
